Record_Type,Original_Entry,Year,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,NA,Notes
Weather,Weather,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Heron,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Mute Swan,1973,NA,NA,NA,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Mallard,1973,NA,NA,NA,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,NA,,,,,,,X,,,,,,,,,,NA,NA,
Species,Sparrow Hawk,1973,NA,NA,NA,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,X,,X,,,NA,NA,
Species,Merlin,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Kestrel,1973,NA,NA,NA,,,X,X,,,X,X,X,X,X,X,,X,,X,,,,,,,,X,,,,X,,,NA,,,,X,,,X,X,X,X,X,X,,,X,,NA,NA,
Species,Pheasant,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Corncrake,1973,NA,NA,NA,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Moorhen,1973,NA,NA,NA,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,,,,,,NA,X,X,X,X,X,X,X,X,X,,,,,,,,NA,NA,
Species,Oystercatcher,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Lapwing,1973,NA,NA,NA,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,NA,,,,,,,X,,,,,,,X,X,,NA,NA,
Species,Golden Plover,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Snipe,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,X,,,NA,NA,
Species,Woodcock,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
